latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.0579963,101.53102,42.0,28800,Asia/Singapore,GMT+8

time,precipitation_sum (mm),temperature_2m_mean (°C)
2014-01-01,1.00,25.8
2014-01-02,2.00,26.0
2014-01-03,23.90,25.0
2014-01-04,10.20,24.7
2014-01-05,20.20,24.7
2014-01-06,12.10,24.9
2014-01-07,13.50,24.6
2014-01-08,3.20,25.6
2014-01-09,36.00,24.6
2014-01-10,25.60,24.7
2014-01-11,7.20,25.3
2014-01-12,2.20,25.4
2014-01-13,12.80,25.0
2014-01-14,14.90,24.9
2014-01-15,0.20,24.9
2014-01-16,0.60,25.0
2014-01-17,0.00,25.6
2014-01-18,0.00,25.5
2014-01-19,0.00,25.3
2014-01-20,0.50,24.7
2014-01-21,0.00,24.5
2014-01-22,0.20,24.3
2014-01-23,0.10,24.4
2014-01-24,0.00,24.7
2014-01-25,0.70,25.1
2014-01-26,1.30,25.2
2014-01-27,0.70,25.3
2014-01-28,0.10,24.9
2014-01-29,0.00,25.6
2014-01-30,0.00,25.2
2014-01-31,0.00,25.4
2014-02-01,0.00,25.0
2014-02-02,0.00,25.3
2014-02-03,0.00,26.2
2014-02-04,0.00,25.7
2014-02-05,0.00,25.4
2014-02-06,0.00,26.0
2014-02-07,0.00,26.7
2014-02-08,0.10,26.9
2014-02-09,0.00,27.2
2014-02-10,0.30,27.4
2014-02-11,0.00,27.6
2014-02-12,0.00,27.8
2014-02-13,1.90,27.6
2014-02-14,0.00,28.2
2014-02-15,0.20,28.4
2014-02-16,0.20,28.4
2014-02-17,0.00,28.1
2014-02-18,0.00,28.0
2014-02-19,0.00,28.1
2014-02-20,11.70,27.2
2014-02-21,9.20,26.2
2014-02-22,0.10,26.6
2014-02-23,0.00,26.8
2014-02-24,0.00,26.7
2014-02-25,0.00,26.9
2014-02-26,0.00,27.4
2014-02-27,0.00,27.8
2014-02-28,0.00,28.3
2014-03-01,0.00,28.1
2014-03-02,0.40,27.7
2014-03-03,6.60,27.6
2014-03-04,6.70,26.2
2014-03-05,0.70,27.1
2014-03-06,0.00,27.2
2014-03-07,0.00,28.1
2014-03-08,0.00,27.6
2014-03-09,0.00,27.7
2014-03-10,0.00,28.1
2014-03-11,0.00,28.6
2014-03-12,0.00,28.2
2014-03-13,0.00,28.5
2014-03-14,0.00,28.7
2014-03-15,8.80,28.2
2014-03-16,25.80,26.5
2014-03-17,17.90,26.6
2014-03-18,24.10,25.9
2014-03-19,3.20,26.1
2014-03-20,9.70,26.0
2014-03-21,1.20,26.5
2014-03-22,1.20,26.9
2014-03-23,0.20,26.9
2014-03-24,0.00,27.5
2014-03-25,0.10,27.3
2014-03-26,2.30,27.1
2014-03-27,0.80,27.4
2014-03-28,2.20,26.8
2014-03-29,8.20,26.2
2014-03-30,1.20,27.0
2014-03-31,2.60,26.8
2014-04-01,2.90,26.5
2014-04-02,2.00,26.9
2014-04-03,34.60,26.1
2014-04-04,3.90,26.6
2014-04-05,46.10,25.0
2014-04-06,10.90,25.6
2014-04-07,0.70,26.2
2014-04-08,25.80,26.0
