latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.0579963,101.53102,42.0,28800,Asia/Kuala_Lumpur,GMT+8

time,precipitation_sum (mm),temperature_2m_mean (°C)
2010-01-01,38.60,25.1
2010-01-02,31.10,25.7
2010-01-03,13.60,26.0
2010-01-04,26.40,26.0
2010-01-05,0.80,26.4
2010-01-06,0.50,26.7
2010-01-07,4.50,26.5
2010-01-08,4.60,26.0
2010-01-09,1.10,25.9
2010-01-10,4.80,25.5
2010-01-11,4.60,25.6
2010-01-12,0.50,25.5
2010-01-13,9.30,25.2
2010-01-14,9.40,25.4
2010-01-15,0.10,25.6
2010-01-16,0.40,25.6
2010-01-17,1.30,25.4
2010-01-18,5.50,25.4
2010-01-19,3.70,25.4
2010-01-20,3.40,25.6
2010-01-21,14.00,25.6
2010-01-22,1.70,25.9
2010-01-23,15.60,25.7
2010-01-24,10.30,25.6
2010-01-25,1.30,25.8
2010-01-26,2.10,25.6
2010-01-27,11.10,25.8
2010-01-28,7.30,25.6
2010-01-29,11.70,25.7
2010-01-30,3.20,26.3
2010-01-31,12.10,25.7
2010-02-01,0.00,26.1
2010-02-02,1.00,26.0
2010-02-03,0.20,26.2
2010-02-04,3.70,26.0
2010-02-05,7.50,26.0
2010-02-06,1.10,26.3
2010-02-07,1.70,26.4
2010-02-08,1.80,26.8
2010-02-09,0.00,26.9
2010-02-10,10.70,26.5
2010-02-11,0.30,26.8
2010-02-12,0.40,26.5
2010-02-13,1.60,26.7
2010-02-14,0.90,26.8
2010-02-15,1.00,26.5
2010-02-16,0.80,26.7
2010-02-17,32.00,26.2
2010-02-18,8.90,26.5
2010-02-19,0.00,26.3
2010-02-20,0.00,26.2
2010-02-21,0.40,26.5
2010-02-22,1.40,26.9
2010-02-23,1.60,27.1
2010-02-24,1.40,26.9
2010-02-25,5.10,27.0
2010-02-26,4.00,26.9
2010-02-27,7.10,26.6
2010-02-28,2.90,27.2
2010-03-01,3.60,26.7
2010-03-02,4.10,26.6
2010-03-03,1.80,27.1
2010-03-04,0.90,27.0
2010-03-05,8.40,26.7
2010-03-06,3.10,26.9
2010-03-07,2.40,26.9
2010-03-08,35.80,26.2
2010-03-09,3.00,26.7
2010-03-10,4.00,26.1
2010-03-11,1.10,26.1
2010-03-12,9.00,26.2
2010-03-13,8.30,25.9
2010-03-14,10.80,26.2
2010-03-15,11.70,26.1
2010-03-16,1.10,26.4
2010-03-17,4.10,26.3
2010-03-18,0.10,26.8
2010-03-19,3.70,26.4
2010-03-20,1.10,26.6
2010-03-21,15.20,26.5
2010-03-22,8.40,26.6
2010-03-23,6.20,26.1
2010-03-24,1.00,27.2
2010-03-25,5.90,27.0
2010-03-26,7.70,26.6
2010-03-27,1.20,27.1
2010-03-28,2.50,26.6
2010-03-29,0.80,26.6
2010-03-30,6.80,25.9
2010-03-31,8.00,26.1
2010-04-01,22.20,25.9
2010-04-02,9.20,26.1
2010-04-03,15.40,25.8
2010-04-04,0.60,26.9
2010-04-05,0.70,27.1
2010-04-06,4.60,26.8
2010-04-07,0.40,27.3
2010-04-08,0.20,27.7
2010-04-09,9.70,27.0
2010-04-10,5.70,26.6
2010-04-11,0.70,27.5
2010-04-12,2.00,27.4
2010-04-13,3.50,27.6
2010-04-14,9.70,27.5
2010-04-15,3.20,27.3
2010-04-16,7.60,27.0
2010-04-17,19.60,27.0
2010-04-18,8.20,26.5
2010-04-19,7.40,26.7
2010-04-20,0.40,26.9
2010-04-21,2.00,27.2
2010-04-22,7.40,27.0
2010-04-23,29.80,26.6
2010-04-24,2.80,26.4
2010-04-25,9.90,26.9
2010-04-26,4.20,27.1
2010-04-27,15.20,26.2
2010-04-28,0.20,27.1
2010-04-29,3.30,27.2
2010-04-30,1.90,27.5
2010-05-01,4.40,27.0
2010-05-02,0.30,27.6
2010-05-03,0.00,27.9
2010-05-04,4.20,27.4
2010-05-05,4.10,26.9
2010-05-06,7.70,27.0
2010-05-07,12.70,26.9
2010-05-08,8.20,27.0
2010-05-09,9.50,26.6
2010-05-10,1.20,27.0
2010-05-11,6.60,27.0
2010-05-12,9.50,26.9
2010-05-13,5.90,26.8
2010-05-14,8.80,27.1
2010-05-15,5.00,27.6
2010-05-16,1.40,28.2
2010-05-17,5.90,27.1
2010-05-18,5.40,27.4
2010-05-19,13.80,27.0
2010-05-20,6.70,26.8
2010-05-21,0.00,27.6
2010-05-22,8.80,26.6
2010-05-23,0.30,27.2
2010-05-24,0.90,27.2
2010-05-25,0.90,27.6
2010-05-26,0.70,27.7
2010-05-27,2.30,27.3
2010-05-28,3.90,27.2
2010-05-29,3.30,27.1
2010-05-30,8.00,26.6
2010-05-31,3.10,27.0
2010-06-01,2.20,26.9
2010-06-02,5.60,27.2
2010-06-03,0.40,27.2
2010-06-04,17.00,26.3
2010-06-05,9.30,26.6
2010-06-06,2.00,27.1
2010-06-07,1.80,27.4
2010-06-08,0.80,26.9
2010-06-09,4.30,26.8
2010-06-10,2.40,26.8
2010-06-11,3.60,26.6
2010-06-12,15.30,26.4
2010-06-13,1.80,26.8
2010-06-14,0.60,27.0
2010-06-15,0.40,26.8
2010-06-16,4.00,26.2
2010-06-17,2.70,26.4
2010-06-18,0.00,26.4
2010-06-19,0.30,27.1
2010-06-20,0.10,27.0
2010-06-21,4.00,26.4
2010-06-22,10.30,25.7
2010-06-23,2.50,25.8
2010-06-24,0.50,26.7
2010-06-25,3.70,25.7
2010-06-26,0.90,26.7
2010-06-27,5.80,26.7
2010-06-28,0.00,26.7
2010-06-29,0.10,27.0
2010-06-30,14.30,26.4
2010-07-01,8.40,25.8
2010-07-02,8.90,25.9
2010-07-03,3.50,25.8
2010-07-04,2.00,25.7
2010-07-05,0.00,26.4
2010-07-06,0.60,27.2
2010-07-07,15.90,26.2
2010-07-08,0.30,26.1
2010-07-09,2.90,26.2
2010-07-10,2.60,25.8
2010-07-11,3.70,26.1
2010-07-12,3.00,26.1
2010-07-13,1.50,26.4
2010-07-14,5.80,26.2
2010-07-15,4.10,26.2
2010-07-16,10.60,25.9
2010-07-17,1.30,26.1
2010-07-18,21.70,25.2
2010-07-19,3.70,26.3
2010-07-20,0.70,26.8
2010-07-21,2.10,26.2
2010-07-22,3.10,25.7
2010-07-23,0.30,26.7
2010-07-24,8.90,26.2
2010-07-25,5.30,25.8
2010-07-26,7.10,25.6
2010-07-27,0.30,26.3
2010-07-28,9.40,26.4
2010-07-29,0.00,27.3
2010-07-30,1.10,26.5
2010-07-31,3.60,26.0
2010-08-01,3.10,26.2
2010-08-02,0.00,27.0
2010-08-03,0.00,27.1
2010-08-04,5.30,26.7
2010-08-05,1.10,26.6
2010-08-06,2.00,26.6
2010-08-07,12.10,25.8
2010-08-08,1.50,26.1
2010-08-09,5.00,26.2
2010-08-10,0.40,27.2
2010-08-11,0.80,27.2
2010-08-12,2.70,27.0
2010-08-13,14.60,26.2
